"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.138647000E0,-1.086968154E-2,8.878529191E-2,1.709222996E-1,1.929129611E-1
2.148693000E0,6.122034788E-3,1.059655809E-1,1.098808765E-1,1.527743129E-1
2.158740000E0,4.764018953E-2,1.440625298E-1,9.891676247E-2,1.811301357E-1
2.168786917E0,9.873320558E-3,1.406436628E-1,6.886090457E-2,1.569074457E-1
2.178833917E0,2.715213060E-2,1.586150801E-1,8.119326711E-2,1.802451898E-1
2.188879917E0,1.570124040E-2,1.872436327E-1,-1.291532993E-2,1.883441336E-1
2.198925917E0,1.698090354E-2,1.732261026E-1,-8.125875592E-2,1.920901328E-1
2.208972917E0,3.759321580E-2,1.024519891E-1,-6.961753428E-2,1.294459772E-1
2.219018917E0,6.576597333E-2,-2.109675407E-2,-3.975638866E-2,7.969194890E-2
2.229065917E0,6.948831081E-2,-1.784219384E-2,-9.191296756E-2,1.165974392E-1
2.239111917E0,1.934288174E-2,1.526883423E-2,-1.501132286E-1,1.521225354E-1
2.249158917E0,-6.618054092E-2,2.657734931E-2,-8.082079947E-2,1.077878524E-1
2.259204917E0,-9.196939319E-2,4.761270761E-2,-3.264266610E-2,1.085858318E-1
2.269251917E0,-3.637377441E-2,7.935139418E-2,-3.947689176E-2,9.580250626E-2
2.279297917E0,1.757147233E-2,8.561317742E-2,-9.356305182E-2,1.280328765E-1
2.289344917E0,1.131588256E-1,1.653007865E-2,-9.593585193E-2,1.492710655E-1
2.299390917E0,1.517247212E-1,-4.260866046E-2,-4.746301889E-2,1.645862301E-1
2.309437917E0,1.804722646E-1,-4.823894441E-2,2.059623241E-2,1.879399873E-1
2.319483917E0,1.267389840E-1,-9.281987071E-2,7.316153169E-2,1.732942820E-1
2.329530917E0,1.981270552E-2,6.709679961E-3,1.321880043E-1,1.338328494E-1
2.339576917E0,-3.769816875E-2,9.463718534E-2,9.107623100E-2,1.366463634E-1
2.349623917E0,-5.276205808E-2,1.593962681E-1,9.628376126E-2,1.935499102E-1
2.359669917E0,-4.377722651E-2,1.443157142E-1,1.864039725E-1,2.397705401E-1
2.369716917E0,6.143757194E-2,1.175734735E-1,2.070545840E-1,2.459058716E-1
2.379762917E0,1.358983549E-1,4.405760050E-2,2.155359703E-1,2.585830419E-1
2.389809917E0,1.337071109E-1,-2.299534500E-2,1.949841768E-1,2.375399052E-1
2.399855917E0,5.612420708E-2,-9.331571460E-3,2.082076550E-1,2.158412204E-1
2.409902917E0,-3.154572845E-4,-2.533657014E-2,1.485298026E-1,1.506756236E-1
2.419948917E0,-1.955308457E-2,-2.263515651E-2,1.347695500E-1,1.380489226E-1
2.429995917E0,5.809442639E-2,-3.308237672E-2,1.216811424E-1,1.388369780E-1
2.440041917E0,9.420916915E-2,-9.984880865E-2,5.679400563E-2,1.485621460E-1
2.450088917E0,1.136602244E-1,-1.239843607E-1,6.531398356E-2,1.804347105E-1
2.460134917E0,8.687003642E-2,-1.120338213E-1,1.093353313E-1,1.790312683E-1
